0.548	0.583	0.592	0.583	0.583	0.567	0.613	0.597	0.526	0.499	0.555	0.533	0.558	0.575	0.553	0.57	0.578	0.602	0.592	0.552
0	0.618	0.627	0.618	0.618	0.602	0.648	0.632	0.561	0.534	0.59	0.568	0.593	0.61	0.588	0.605	0.613	0.637	0.627	0.587
0	0	0.636	0.627	0.627	0.611	0.657	0.641	0.57	0.543	0.599	0.577	0.602	0.619	0.597	0.614	0.622	0.646	0.636	0.596
0	0	0	0.618	0.618	0.602	0.648	0.632	0.561	0.534	0.59	0.568	0.593	0.61	0.588	0.605	0.613	0.637	0.627	0.587
0	0	0	0	0.618	0.602	0.648	0.632	0.561	0.534	0.59	0.568	0.593	0.61	0.588	0.605	0.613	0.637	0.627	0.587
0	0	0	0	0	0.586	0.632	0.616	0.545	0.518	0.574	0.552	0.577	0.594	0.572	0.589	0.597	0.621	0.611	0.571
0	0	0	0	0	0	0.678	0.662	0.591	0.564	0.62	0.598	0.623	0.64	0.618	0.635	0.643	0.667	0.657	0.617
0	0	0	0	0	0	0	0.646	0.575	0.548	0.604	0.582	0.607	0.624	0.602	0.619	0.627	0.651	0.641	0.601
0	0	0	0	0	0	0	0	0.504	0.477	0.533	0.511	0.536	0.553	0.531	0.548	0.556	0.58	0.57	0.53
0	0	0	0	0	0	0	0	0	0.45	0.506	0.484	0.509	0.526	0.504	0.521	0.529	0.553	0.543	0.503
0	0	0	0	0	0	0	0	0	0	0.562	0.54	0.565	0.582	0.56	0.577	0.585	0.609	0.599	0.559
0	0	0	0	0	0	0	0	0	0	0	0.518	0.543	0.56	0.538	0.555	0.563	0.587	0.577	0.537
0	0	0	0	0	0	0	0	0	0	0	0	0.568	0.585	0.563	0.58	0.588	0.612	0.602	0.562
0	0	0	0	0	0	0	0	0	0	0	0	0	0.602	0.58	0.597	0.605	0.629	0.619	0.579
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.558	0.575	0.583	0.607	0.597	0.557
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.592	0.6	0.624	0.614	0.574
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.608	0.632	0.622	0.582
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.656	0.646	0.606
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.636	0.596
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.556
